,question,question_id
424,What all carriers does Shiprocket have for international shipping?,152000000283
425,When will my International KYC be approved?,152000000284
426,What is Whatsapp communication and how is it helpful?,152000000315
427,How can I select or customize the flow of WhatsApp Communication?,152000000316
428,How can I enable or disable Whatsapp Communication?,152000000317
429,Can I use WhatsApp Communication and then pay later?,152000000318
430,What are the benefits of Whatsapp Communication?,152000000319
431,How can I take a demo of Whatsapp communication?,152000000320
432,How much will WhatsApp Communication cost me?,152000000321
433,Which shipment status updates does Shiprocket send?,152000000322
434,Can I use my own messages to be sent to the buyer?,152000000323
435,What is Delivery Boost?,152000000381
436,What are the features and benefits of Delivery Boost?,152000000382
437,How can I join Delivery Boost?,152000000383
438,How I can try the Demo of Delivery Boost?,152000000384
439,How will I be charged for using the Delivery Boost service?,152000000385
440,How to check if the shipment delivered is a Delivery Boost shipment?,152000000386
441,What is the extra revenue & how will I know when I saved RTO cost or generated revenue?,152000000387
442,Can I switch back to NDR Buyer Flow?,152000000388
443,What if I do not use Delivery Boost?,152000000389
444,What will be the invoice cycle of Delivery Boost?,152000000391
445,Will I be charged for the Delivery Boost trial period?,152000000392
446,Will I be charged when the Delivery Boost trial period has ended?,152000000393
447,How to check the number of days remaining in the trial period?,152000000394
448,What is NDR?,43000664209
449,How to Process an NDR?,43000664210
450,What is the process time for NDR?,43000664212
451,How to escalate my NDR reattempt request?,43000664214
452,How many attempts will be made by the courier company to deliver my order?,43000664215
453,How long does it take for an action to be implemented on my undelivered shipment?,43000664216
454,How does the Contact Buyer functionality work?,43000664217
455,"Do I get to Re-Escalate, if the delivery has not been attempted on the previous escalation raised?",152000000287
456,What is the RTO score feature for you?,152000000308
457,How can I enable or disable RTO score?,152000000309
458,"What is High, Medium or low RTO predicted order?",152000000310
459,What are the benefits of the RTO Score Feature?,152000000311
460,What action can I take on High & Low  RTO?,152000000312
461,How much will RTO Score cost me?,152000000313
462,Can I use RTO Score feature now and Pay later?,152000000314
463,What Is RTO Delay Escalation and How to Raise it?,152000000483
